Sector,ID,Title,Name,Detailed Description,URL,Average Annual Charge
Europe,IAEX.L,iShares plc,AEX,,,
North America,BF2JTS0.L,Amundi Luxembourg SA,AM NASDAQ100 UC ETF EUR ACC,,,
Asia Pacific,LGAG.L,Legal & General,Asia Pacific Ex Jpn Eq ETF USD(GBP),,,
Asia Pacific,HSXJ.L,HSBC Securities Services (Ireland) Limited,Asia Pacific Ex Jpn Stable Eq UCITS ETF GBP,,,
North America,UC98.L,UBS Global Asset Management,BBG Barc MSCI US Liq Corp Sust UCITS ETF (USD),,,
North America,BBDD.L,JPMorgan Funds ETFs,BetaBuilders US Equity UCITS ETF Dist,,,
Europe,CACX.L,Lyxor International Asset Management,CAC 40 (GBP),,,
Europe,7028704.L,Lyxor International Asset Management,CAC 40 Master Unit,,,
World,JPTC.L,JPMorgan Funds ETFs (Ireland) ICAV,Carbon Transition Global Equity UCITS ETF,,,
Asia Pacific,FRCH.L,Franklin Liberty,China UCITS ETF - Acc (GBP),,,
North America,XLCP.L,Invesco Markets Plc,Communications S&P US Select Sector UCITS ETF Acc,,,
Europe,CSX5.L,iShares VII plc,Core EURO STOXX 50,,,
Europe,EUE.L,iShares II plc,Core Euro STOXX 50 UCITS ETF (Dist),,,
FTSE 100,CUKX.L,iShares VII plc,Core FTSE 100 (Acc),,,
FTSE 100,ISF.L,iShares plc,Core FTSE 100 UCITS ETF (Dist),,,
UK,LCUK.L,Lyxor,Core Morningstar UK NT (DR) UCITS ETF - Dist,,,
Emerging Markets,EIMI.L,iShares plc,Core MSCI EM IMI UCITS ETF USD (Acc),,,
Europe,CEU1.L,iShares VII plc,Core MSCI EMU UCITS ETF,,,
Europe,CEUG.L,IShares VII Plc,Core MSCI EMU UCITS ETF GBP Hedged (Dist),,,
Europe,SMEA.L,iShares III plc,Core MSCI Europe (Acc) EUR,,,
Europe,EQDS.L,iShares,Core MSCI Europe Quality Div UCITS ETF (GBP),,,
Japan,LCJG.L,Lyxor Asset Management,Core MSCI Japan (DR) UCITS ETF Daily Hedged Acc,,,
Japan,IJPA.L,iShares III plc,Core MSCI Japan IMI Acc,,,
Japan,SJPA.L,iShares III plc,Core MSCI Japan IMI Acc USD (GBX),,,
Japan,CJPU.L,iShares VII plc,Core MSCI Japan USD,,,
World,SWDA.L,iShares III plc,Core MSCI World (Acc),,,
North America,IDUS.L,iShares plc,Core S&P 500 (USD) UCITS ETF (Dist),,,
North America,CSP1.L,iShares VII plc,Core S&P 500 B GBP ACC,,,
North America,CSPX.L,iShares VII plc,Core S&P 500 B USD ACC,,,
North America,GSPX.L,IShares VII Plc,Core S&P 500 UCITS ETF GBP Dis Hdg,,,
Europe,MEUD.L,Lyxor Index Fund SICAV,Core Stoxx Europe 600 GBP,,,
Asia Pacific,KWEB.L,KraneShares ICAV,CSI China Internet UCITS ETF,,,
Asia Pacific,XCHA.L,Xtrackers,CSI300 UCITS ETF Class 1C,,,
Europe,DAXX.L,Multi Units Luxembourg,DAX,,,
Europe,DAXX.L,Multi Units Luxembourg,DAX,,,
Europe,DEL2.L,Legal & General UCITS ETF,DAX 2X Long Fund,,,
Europe,DL2P.L,Legal & General UCITS ETF,DAX 2X Long Fund Shares Eur (GBP),,,
Europe,DS2P.L,Legal & General UCITS ETF,DAX 2X Short Fund Shares EUR (GBP),,,
Europe,3DEL.L,WisdomTree,DAX 30 3x Daily Leveraged,,,
Europe,3LDE.L,WisdomTree,DAX 30 3x Daily Leveraged (GBP),,,
Europe,3DES.L,WisdomTree,DAX 30 3x Daily Short,,,
Europe,CG1.L,Amundi Investment Solutions,DAX UCITS ETF,,,
Europe,XDDX.L,Xtrackers,DAX UCITS ETF (DR) - Income 1D,,,
Europe,XDAX.L,Xtrackers,DAX UCITS ETF (DR) 1C,,,
Developed Markets,DPYA.L,iShares II plc,Developed Mkts Property Yield UCITS ETF USD (Acc),,,
Asia Pacific,IAPD.L,iShares plc,DJ Asia/Pacific Select Dividend 30,,,
Europe,7078066.L,Lyxor International Asset Management,DJ Euro Stoxx 50 Master Unit,,,
Emerging Markets,SEDY.L,iShares V plc,Dow Jones Emerging Markets Select Div GBP,,,
World,IGSG.L,iShares II plc,Dow Jones Global Sustainability Screened (GBP),,,
North America,DJEL.L,Lyxor International Asset Management,Dow Jones Industrial Average,,,
North America,CIND.L,iShares VII plc,Dow Jones Industrial Average UCITS ETF,,,
North America,FDNI.L,First Trust Global Funds plc,Dow Jones International Internet UCITS ETF,,,
Emerging Markets,EMV.L,iShares VI plc,Edge MSCI EM Minimum Volatility GBP,,,
Emerging Markets,EMMV.L,iShares VI plc,Edge MSCI EM Minimum Volatility UCITS ETF USD,,,
Europe,MVED.L,IShares VI Plc,Edge MSCI Euro Min Vol UCITS EUR Dis,,,
Europe,IMV.L,iShares VI plc,Edge MSCI Europe Minimum Volatility GBP,,,
Europe,IFSD.L,iShares IV Plc,Edge MSCI Europe Multifactor UCITS ETF EUR (Dist),,,
North America,IUMF.L,iShares IV Plc,EDGE MSCI USA MOMENTUM FAC UCTS USD,,,
North America,UFSD.L,iShares IV Plc,Edge MSCI USA Multifactor UCITS ETF USD (Dist),,,
North America,IUQF.L,iShares IV Plc,EDGE MSCI USA QUALITY FACT UCTS USD,,,
North America,IUQD.L,iShares IV plc,Edge MSCI USA Quality Factor UCITS ETF (Dist),,,
North America,IUSF.L,iShares IV Plc,EDGE MSCI USA SIZE FACTOR UCTS USD,,,
North America,FSUS.L,IShares iv plc,Edge msci Usa Ucits ETF USD Acc,,,
North America,IUVF.L,iShares IV Plc,EDGE MSCI USA VALUE FACTOR UCTS USD,,,
World,MVEW.L,iShares VI plc,Edge MSCI World Min Vol ESG UCITS ETF,,,
World,WMVG.L,iShares VI Plc,Edge MSCI World Min Vol UCITS ETF GBP Hdgd (Acc),,,
World,MINV.L,iShares VI plc,Edge MSCI World Minimum Volatility GBP,,,
World,IWQU.L,iShares IV PLC,Edge MSCI World Quality Factor UCITS ETF USD (Acc),,,
World,IFSW.L,iShares Edge IV plc,Edge MSCI World UCITS ETF USD Acc,,,
World,FSWD.L,iShares IV Plc,EDGE MSCI WORLD UCITS ETF(GBP),,,
World,IWVG.L,iShares IV plc,Edge MSCI World Value Factor UCITS ETF (Dist),,,
North America,MVUS.L,iShares VI plc,Edge S&P 500 Minimum Volatility GBP,,,
World,EMLP.L,PIMCO Fixed Income Source ETFs,EM Advantage Local Bond Index Source UCITC ETF,,,
Asia Pacific,IGAA.L,iShares III plc,Emerging Asia Local Govt Bond UCITS ETF USD - Acc,,,
Emerging Markets,3EML.L,WisdomTree,Emerging Markets 3x Daily Leveraged (USD),,,
Emerging Markets,3EMS.L,WisdomTree,Emerging Markets 3x Daily Short (USD),,,
Emerging Markets,FEM.L,First Trust Global Funds plc,Emerging Markets AlphaDEX UCITS,,,
Emerging Markets,DEM.L,WisdomTree Issuer plc,Emerging Markets Equity Income UCITS ETF,,,
Emerging Markets,LMMV.L,Ossiam ETF,Emerging Markets Minimum Variance,,,
Emerging Markets,FEMQ.L,Fidelity UCITS ICAV,Emerging Markets Quality Income GBP,,,
Emerging Markets,FEMD.L,Fidelity,Emerging Markets Quality Income UCITS ETF (GBP),,,
Emerging Markets,DGSE.L,WisdomTree Issuer plc,Emerging Markets SmallCap Dividend UCITS ETF,,,
